layers,full_ensembling_train_accs,full_merging_train_accs,full_ensembling_test_accs,full_merging_test_accs,full_ensembling_train_losses,full_merging_train_losses,full_ensembling_test_losses,full_merging_test_losses,default_num_params,only_ensemble_i_train_accs,only_ensemble_i_train_losses,only_ensemble_i_test_accs,only_ensemble_i_test_losses,only_ensemble_i_num_params,only_merge_i_train_accs,only_merge_i_train_losses,only_merge_i_test_accs,only_merge_i_test_losses,only_merge_i_num_params
1.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.9238298,0.5120948,0.9081515,0.57712555,9301130.0,0.99836195,0.009195757,0.95981866,0.17326024,36733960.0
2.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.92099047,0.5524011,0.90550095,0.62358284,9594378.0,0.9972153,0.0124199875,0.95835894,0.18497969,36145800.0
3.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.9417394,0.447044,0.91959894,0.53152853,10110602.0,0.9888748,0.038578335,0.95574677,0.1836252,35113480.0
4.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.93281186,0.4672776,0.91034114,0.5398904,10995338.0,0.98973477,0.036751486,0.9592041,0.17765117,33344010.0
5.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.9155166,0.4801709,0.9005839,0.5480786,12765066.0,0.99830735,0.009897456,0.9614321,0.16008875,29804810.0
6.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.9198029,0.42242447,0.90588504,0.48616382,13944714.0,0.99892163,0.011165026,0.96139365,0.15029013,27445514.0
7.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.9207721,0.42476717,0.90553933,0.49029276,13944714.0,0.99874413,0.012563824,0.9601644,0.15491566,27445514.0
8.0,0.9991127,0.9991127,0.9616626,0.9616626,0.004070215,0.004070215,0.18242452,0.18242452,9225610.0,0.9142198,0.45651883,0.9002766,0.52182424,11590538.0,0.9989626,0.009705638,0.96104795,0.15665503,32158986.0
