alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.3_train_accs,partial_merging_1.3_train_losses,partial_merging_1.3_test_accs,partial_merging_1.3_test_losses,partial_merging_REPAIR_1.3_train_accs,partial_merging_REPAIR_1.3_train_losses,partial_merging_REPAIR_1.3_test_accs,partial_merging_REPAIR_1.3_test_losses
0.55,1.0,0.00048478416,0.9472,0.1912273,0.1,2.3503678,0.1,2.3499951,0.10222,3.3890774,0.1019,3.3937373,0.90168,0.33674732,0.8594,0.5760084,0.10488,3.321516,0.1048,3.3260968,0.90112,0.33461434,0.857,0.5783798,0.11208,3.325892,0.1115,3.3288946,0.9004,0.33827364,0.8583,0.57916546,0.10628,3.4101934,0.1055,3.4124775,0.9015,0.32862955,0.8581,0.5666317
0.6,1.0,0.0004892847,0.9471,0.1928952,0.10014,2.399631,0.1003,2.3989525,0.10418,3.4413655,0.104,3.4471867,0.92674,0.23735513,0.8747,0.5008386,0.10764,3.374585,0.1073,3.380241,0.927,0.23586665,0.875,0.5012683,0.11284,3.3736832,0.1117,3.378106,0.9261,0.23811194,0.8745,0.50243664,0.1095,3.4458327,0.1086,3.4490848,0.92808,0.2308985,0.874,0.4941162
0.65,1.0,0.0004977971,0.9468,0.19537124,0.1,2.5194323,0.1,2.5182157,0.11406,3.4122071,0.1127,3.4214742,0.95716,0.13091803,0.893,0.42124352,0.1197,3.3532016,0.1174,3.3621643,0.95666,0.1305517,0.8933,0.42054245,0.12364,3.3488483,0.1226,3.3569655,0.95704,0.13098486,0.8951,0.42109752,0.12192,3.3930035,0.1204,3.399571,0.95852,0.1272293,0.8937,0.41521528
0.7,1.0,0.0005105874,0.9464,0.19864058,0.1,2.6976395,0.1,2.6959405,0.1616,3.2158947,0.1586,3.2334795,0.98106,0.05701514,0.9092,0.35798988,0.17084,3.1638408,0.1687,3.1807013,0.98108,0.056845687,0.91,0.35607895,0.17052,3.1618338,0.1696,3.1782627,0.981,0.056883678,0.91,0.35641977,0.17386,3.1628418,0.1729,3.1785731,0.98158,0.055466324,0.9106,0.35316047
0.75,1.0,0.00052806543,0.9451,0.20267911,0.1036,2.8633468,0.1034,2.8623843,0.28772,2.7073216,0.2857,2.742749,0.99372,0.02023615,0.9202,0.31186518,0.2964,2.6618755,0.2958,2.6973202,0.99382,0.020399326,0.9213,0.31031498,0.29588,2.667453,0.2951,2.7031922,0.99354,0.020243471,0.9205,0.30965728,0.30214,2.619011,0.3009,2.6567867,0.9938,0.019673947,0.9203,0.30861717
0.8,1.0,0.00055080996,0.9448,0.20745656,0.156,2.772584,0.1503,2.7824938,0.50608,1.7485133,0.4912,1.8357445,0.99876,0.0064291283,0.9289,0.27933434,0.51342,1.7198718,0.499,1.8076762,0.99876,0.006489542,0.9287,0.27813137,0.51406,1.7270988,0.4987,1.8163155,0.99882,0.0064346776,0.9285,0.27783635,0.5231,1.6670725,0.5057,1.7569128,0.99886,0.0062372847,0.9283,0.2780341
0.85,1.0,0.00057959737,0.9435,0.21294324,0.4282,1.8684665,0.4163,1.9315153,0.78294,0.7144586,0.7411,0.92232877,0.9998,0.00233135,0.9345,0.25803185,0.78466,0.7059293,0.7446,0.9152312,0.99978,0.0023170358,0.9354,0.25744063,0.7845,0.71056616,0.7437,0.9194989,0.9998,0.0023066895,0.935,0.25704712,0.79014,0.68140894,0.7489,0.89097667,0.99984,0.0022858658,0.9341,0.25777128
0.9,1.0,0.0006154418,0.9431,0.21911511,0.84208,0.47375092,0.7857,0.71595526,0.9538,0.13443828,0.881,0.45646915,0.99994,0.0011854833,0.9381,0.24419284,0.95364,0.13342434,0.8799,0.45645294,0.99994,0.0011734663,0.9377,0.2437282,0.95368,0.13474856,0.8805,0.45755678,0.99994,0.0011764952,0.9383,0.2435784,0.95498,0.13043283,0.8811,0.45290998,0.99994,0.0011807019,0.9373,0.24394855
0.95,1.0,0.00065965066,0.9417,0.22595441,0.99524,0.018738674,0.9161,0.30770662,0.99904,0.0051955637,0.9285,0.28591728,0.99996,0.0008267336,0.9401,0.23614037,0.99902,0.0051908977,0.9286,0.28597927,0.99996,0.0008281343,0.9399,0.23586251,0.99902,0.0052090716,0.9283,0.28607115,0.99996,0.00082452956,0.9397,0.23579477,0.999,0.00519813,0.9285,0.2862551,0.99996,0.00082602416,0.9396,0.23594537
1.0,1.0,0.00071387604,0.941,0.23344834,1.0,0.0007138828,0.941,0.23344992,1.0,0.0007139033,0.941,0.23345158,1.0,0.0007229664,0.9411,0.23255965,1.0,0.00071422075,0.941,0.23343378,1.0,0.0007223942,0.9412,0.23252507,1.0,0.0007138947,0.941,0.23345655,1.0,0.00072316796,0.9411,0.2326394,1.0,0.0007138972,0.941,0.23345529,1.0,0.0007226196,0.9412,0.23269272
