alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses
0.0,1.0,5.685552e-05,0.9924,0.035551034,1.0,5.685553e-05,0.9924,0.03555103,1.0,5.685553e-05,0.9924,0.03555103,1.0,5.456684e-05,0.9923,0.035636958,1.0,5.6830202e-05,0.9924,0.035546817,1.0,5.453949e-05,0.9926,0.035406835,1.0,5.681377e-05,0.9924,0.035551853,1.0,5.454967e-05,0.9924,0.035595015
0.05,1.0,5.233568e-05,0.9923,0.034507323,0.9995,0.001920312,0.9892,0.037793722,0.9999833,0.00016704481,0.9917,0.034042396,0.9999833,7.027358e-05,0.9923,0.036399167,0.9999833,0.00014154105,0.992,0.034051504,0.9999833,7.12151e-05,0.9922,0.03618168,0.9999833,8.323781e-05,0.9922,0.034310948,0.9999833,6.406822e-05,0.9924,0.035270963
0.1,1.0,4.8742706e-05,0.9923,0.033616025,0.97676665,0.062745474,0.9681,0.103100285,0.9996833,0.0011897772,0.9896,0.037303004,0.9999667,0.00014366799,0.9918,0.03849151,0.99981666,0.00076568645,0.9906,0.036268275,0.9999667,0.00013767547,0.9916,0.03819877,0.9999667,0.00015516292,0.9917,0.034192707,0.9999833,9.798178e-05,0.9921,0.03582318
0.15,1.0,4.5876986e-05,0.9923,0.032871302,0.8347333,0.4708395,0.8285,0.49640325,0.99768335,0.0067578377,0.9873,0.046669096,0.9999167,0.00048517092,0.9912,0.042105567,0.99838334,0.004435718,0.9884,0.043485664,0.9999,0.00041417708,0.991,0.041818,0.99995,0.00035211162,0.9914,0.03509335,0.99995,0.00018399577,0.9915,0.0368886
0.2,1.0,4.359209e-05,0.9928,0.032268755,0.666,1.1427155,0.6646,1.150183,0.9920167,0.02273118,0.9824,0.063363835,0.99918336,0.0020348963,0.9906,0.04680077,0.9945667,0.016230222,0.9852,0.056656104,0.99951667,0.0015362678,0.9905,0.04629828,0.9997333,0.0008538059,0.9904,0.037020203,0.9999167,0.00034401304,0.9914,0.038214177
0.25,1.0,4.1783052e-05,0.9927,0.031803507,0.35186666,1.8811224,0.3711,1.8637185,0.98333335,0.052226778,0.9736,0.090600386,0.99791664,0.006077952,0.989,0.052797213,0.98696667,0.04044578,0.979,0.08005089,0.9982833,0.0046642018,0.9893,0.051729456,0.99936664,0.0018844217,0.9904,0.039893318,0.99983335,0.0006417003,0.9916,0.039855786
0.3,1.0,4.0373914e-05,0.9926,0.031469963,0.14406666,2.4021668,0.1432,2.3824441,0.97175,0.09477374,0.9635,0.12933877,0.99595,0.013386313,0.9886,0.059635647,0.97585,0.07937464,0.9676,0.116024725,0.99653333,0.010623949,0.9876,0.058744527,0.99873334,0.0036065518,0.9894,0.043549843,0.99965,0.0010884197,0.9911,0.041616015
0.35,1.0,3.9310704e-05,0.9926,0.031263433,0.102583334,2.5893579,0.1014,2.5779593,0.95818335,0.14482126,0.9515,0.17595114,0.99335,0.023150966,0.9868,0.06726482,0.9633833,0.12765603,0.9567,0.16161227,0.99418336,0.018834507,0.9861,0.06654224,0.99785,0.0058752443,0.9884,0.047553208,0.99945,0.001702988,0.991,0.04362826
0.4,1.0,3.8555754e-05,0.9927,0.031183317,0.09751666,2.597838,0.0974,2.590225,0.94558334,0.19159591,0.9412,0.21974775,0.9913667,0.033025533,0.9854,0.07440572,0.95411664,0.1725512,0.9469,0.2053505,0.99238336,0.027784143,0.9852,0.074206434,0.9971333,0.008189646,0.9873,0.051079422,0.99918336,0.0023926818,0.991,0.045295395
0.45000002,1.0,3.8084774e-05,0.9928,0.031236282,0.09751666,2.5649796,0.0974,2.5583284,0.9375333,0.22398072,0.9331,0.2498856,0.9899833,0.04045758,0.984,0.07950487,0.9482833,0.2029885,0.9422,0.23562498,0.99095,0.034528285,0.9842,0.07975445,0.9964167,0.00995639,0.9869,0.053582307,0.9989,0.002958034,0.9914,0.046803907
