alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.3_train_accs,partial_merging_1.3_train_losses,partial_merging_1.3_test_accs,partial_merging_1.3_test_losses,partial_merging_REPAIR_1.3_train_accs,partial_merging_REPAIR_1.3_train_losses,partial_merging_REPAIR_1.3_test_accs,partial_merging_REPAIR_1.3_test_losses
0.0,1.0,0.00051566405,0.9437,0.21735974,1.0,0.00051567075,0.9437,0.21736117,1.0,0.00051567075,0.9437,0.21736117,1.0,0.00050214335,0.9437,0.21616767,1.0,0.0005156708,0.9437,0.21736117,1.0,0.0005000157,0.9438,0.21629408,1.0,0.00051567075,0.9437,0.21736117,1.0,0.0005017192,0.9438,0.21632181,1.0,0.00051567063,0.9437,0.21736117,1.0,0.0005005557,0.9436,0.21631643
0.05,1.0,0.00046697044,0.9447,0.21079998,0.99484,0.018354334,0.9209,0.2892085,0.99898,0.0050234306,0.9301,0.268945,1.0,0.0006075862,0.9429,0.21831256,0.99954,0.0030301132,0.9328,0.25961432,1.0,0.0005990474,0.943,0.21865375,0.99974,0.0022910768,0.9337,0.25518507,1.0,0.00058759534,0.9437,0.21854694,0.99996,0.0016910862,0.9346,0.25012296,1.0,0.00058335066,0.9436,0.21783808
0.1,1.0,0.00042757182,0.9465,0.2049822,0.8514,0.4500979,0.7924,0.6837162,0.94408,0.162962,0.8721,0.47602457,1.0,0.0009761564,0.9408,0.22450742,0.96928,0.08680398,0.8931,0.40592417,0.99998,0.0009135742,0.9419,0.2244971,0.9803,0.058428887,0.9012,0.3758672,0.99998,0.0008622859,0.942,0.22516806,0.9867,0.039856765,0.9088,0.3571176,0.99998,0.0008409301,0.9433,0.22337912
0.15,1.0,0.00039577374,0.9479,0.199915,0.4996,1.6354604,0.4785,1.7065974,0.73782,0.8839633,0.6964,1.083925,0.99972,0.0022309897,0.9367,0.23722222,0.83284,0.5253996,0.7815,0.7870598,0.9999,0.0018802114,0.9387,0.2360569,0.875,0.37756562,0.8135,0.66898066,0.99994,0.0016667707,0.9389,0.23674527,0.90588,0.28009617,0.839,0.59921837,0.99994,0.0015625815,0.9412,0.23351228
0.2,1.0,0.00037023184,0.9503,0.19560486,0.24826,2.3511002,0.2391,2.3697577,0.43586,2.0084963,0.4301,2.0640082,0.99858,0.0066233254,0.9306,0.25809866,0.59778,1.3708874,0.5856,1.4889475,0.99922,0.0052337283,0.9335,0.25532386,0.6817,1.058975,0.6566,1.2279233,0.99946,0.004286439,0.9346,0.25568298,0.74702,0.8512441,0.7109,1.0750124,0.99956,0.003703487,0.9359,0.24940263
0.25,1.0,0.0003498904,0.9505,0.19205521,0.13004,2.5164335,0.1269,2.5206673,0.24998,2.5862515,0.2469,2.5952187,0.99388,0.020754378,0.922,0.29005915,0.3695,2.174827,0.3667,2.20163,0.99562,0.016570594,0.9247,0.28465953,0.46642,1.8571091,0.4576,1.917944,0.9965,0.012871562,0.9283,0.28233567,0.5509,1.6226615,0.5402,1.729625,0.99724,0.010510827,0.929,0.2733913
0.3,1.0,0.0003339474,0.9509,0.18926705,0.09986,2.5815957,0.1,2.5815957,0.19972,2.5782506,0.1987,2.5771327,0.97992,0.059007023,0.9103,0.33591688,0.24348,2.472163,0.2424,2.476117,0.98474,0.046855528,0.9139,0.32590342,0.32394,2.3598866,0.3191,2.3798127,0.98812,0.035787575,0.918,0.3193412,0.3992,2.2598329,0.3953,2.2969213,0.99118,0.028222242,0.9195,0.30695227
0.35,1.0,0.00032179613,0.9509,0.18724066,0.1,2.533156,0.1,2.5325975,0.19674,2.5049303,0.2003,2.5013719,0.95438,0.13850467,0.8912,0.40125105,0.18348,2.483589,0.1827,2.4815445,0.96378,0.10935523,0.8966,0.38478526,0.25148,2.520776,0.2449,2.529815,0.9725,0.0829833,0.9039,0.36876252,0.32068,2.5740752,0.3135,2.5861957,0.9789,0.063315965,0.9099,0.34820074
0.4,1.0,0.00031299746,0.9507,0.18597695,0.1,2.4255586,0.1,2.425065,0.19544,2.470464,0.1982,2.4671774,0.9184,0.25939232,0.8691,0.4886617,0.15872,2.4670265,0.1591,2.4633825,0.93466,0.20507859,0.8772,0.45723754,0.20882,2.5473795,0.2061,2.5519662,0.95078,0.15203206,0.8895,0.42464453,0.28306,2.6699338,0.2791,2.6736183,0.96234,0.11434262,0.8995,0.39230704
0.45000002,1.0,0.0003072458,0.9517,0.18547824,0.1,2.3495572,0.1,2.3489797,0.18514,2.454392,0.1896,2.4518232,0.88462,0.38412872,0.8456,0.5802959,0.14998,2.4654934,0.1505,2.4613545,0.90656,0.3035924,0.859,0.52901506,0.18544,2.5461576,0.1858,2.5489604,0.93182,0.21800363,0.8757,0.47156456,0.26746,2.6865115,0.2649,2.6864388,0.94764,0.16316256,0.8906,0.42581198
