alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses
0.0,0.99995,0.0011254695,0.9898,0.037307598,0.99995,0.0011254696,0.9898,0.03730759,0.99995,0.0011254696,0.9898,0.037307598,0.99993336,0.0011190053,0.9899,0.03744173,0.99995,0.0011253731,0.9898,0.03731182,0.99993336,0.0011161776,0.9899,0.03746885,0.99995,0.0011254696,0.9898,0.037307598,0.99993336,0.001115729,0.9899,0.03748882
0.05,0.99993336,0.0010338126,0.9899,0.035681497,0.9996333,0.0034970734,0.9886,0.038534846,0.9999,0.0016083817,0.9896,0.037880428,0.9999167,0.0013285731,0.9892,0.03861664,0.9999167,0.0014919285,0.9898,0.037676897,0.99995,0.0012929004,0.9901,0.038486272,0.99993336,0.0012194054,0.99,0.036741238,0.99993336,0.0011439776,0.9899,0.037028655
0.1,0.99993336,0.00096206466,0.99,0.03424474,0.99465,0.017590143,0.9831,0.054846656,0.99953336,0.002950726,0.9891,0.03998928,0.99975,0.002005725,0.9893,0.04084478,0.9997333,0.0024099387,0.9894,0.039334834,0.99975,0.0018050581,0.9897,0.040379066,0.9999167,0.0014425336,0.9897,0.036605306,0.9999167,0.0012565482,0.9899,0.037044436
0.15,0.99993336,0.000905826,0.9904,0.032988504,0.97533333,0.0761375,0.9644,0.11318572,0.99855,0.005708946,0.988,0.043392967,0.99911666,0.0034219427,0.9887,0.044027776,0.99915,0.0041505494,0.9885,0.041933272,0.99936664,0.002802597,0.9894,0.04299575,0.99976665,0.0017943006,0.99,0.03681741,0.99983335,0.00145667,0.9899,0.037430704
0.2,0.99993336,0.00086200726,0.9905,0.031906206,0.90173334,0.26385477,0.8983,0.29003754,0.99645,0.01023319,0.9871,0.047914393,0.99803334,0.0058284346,0.9882,0.047493696,0.99765,0.0069133122,0.9881,0.045146987,0.9987,0.0043899617,0.989,0.04623634,0.9996333,0.0022678983,0.9899,0.03728109,0.99975,0.001756558,0.9899,0.038029306
0.25,0.99993336,0.0008284002,0.9907,0.030992616,0.75525,0.66434664,0.7637,0.6655951,0.99405,0.016447503,0.9857,0.053377688,0.9967833,0.009297403,0.9878,0.051627755,0.99618334,0.010648949,0.9865,0.048880436,0.99768335,0.006588491,0.9888,0.04934556,0.99951667,0.0028448077,0.99,0.037796024,0.9996,0.0021351129,0.9902,0.03878338
0.3,0.99993336,0.00080341287,0.9911,0.03024267,0.5951333,1.2574017,0.6095,1.22272,0.9913833,0.023887772,0.9841,0.059391685,0.99495,0.013411906,0.9866,0.05605802,0.99455,0.014936296,0.9861,0.052800633,0.99668336,0.009120395,0.9873,0.052482635,0.9993167,0.0034618988,0.9898,0.03830469,0.99945,0.0025364256,0.9902,0.039252475
0.35,0.99993336,0.00078590837,0.9914,0.02965064,0.43863332,1.9408628,0.4585,1.8736715,0.98903334,0.03172307,0.982,0.06571809,0.9936,0.017736461,0.9853,0.060123842,0.99301666,0.01935562,0.9849,0.056595054,0.9957833,0.011667296,0.9871,0.05521917,0.99905,0.004068781,0.9891,0.03882125,0.9992333,0.0029761835,0.9898,0.03969222
0.4,0.99993336,0.00077509636,0.9912,0.02921005,0.32098332,2.566603,0.3381,2.480276,0.9866833,0.038840655,0.9805,0.07125342,0.9924,0.021787826,0.9841,0.06379281,0.9916833,0.023323098,0.9841,0.059900716,0.9952667,0.013911036,0.987,0.057300698,0.99885,0.0045908014,0.9889,0.039256964,0.9989833,0.0033373844,0.9892,0.040034086
0.45000002,0.99993336,0.0007704639,0.9915,0.028914455,0.25723332,2.9957008,0.2695,2.9016151,0.9849167,0.044061575,0.9797,0.07492868,0.99151665,0.02457554,0.9841,0.06597998,0.99058336,0.02623794,0.9837,0.0621303,0.9946167,0.015379064,0.9861,0.05841724,0.9986167,0.004938889,0.9888,0.039500736,0.9989,0.0036035783,0.9891,0.040179018
0.5,0.99993336,0.00077173766,0.992,0.028758636,0.238,3.148247,0.2504,3.0530455,0.9842333,0.046242986,0.9792,0.076193795,0.9910667,0.025478162,0.9841,0.06647772,0.99015,0.02747278,0.9835,0.06300933,0.99446666,0.015853686,0.9863,0.058722947,0.9985,0.005064097,0.9888,0.039572462,0.99881667,0.0036889508,0.9895,0.040160634
0.55,0.99995,0.0007788614,0.9918,0.02873936,0.25745,3.0038574,0.2693,2.9136465,0.9845833,0.04499543,0.9791,0.0748255,0.99156666,0.024421684,0.984,0.06552837,0.99035,0.026880387,0.9833,0.062108446,0.9946667,0.015276174,0.9862,0.057743665,0.9985167,0.0049585626,0.9889,0.03937173,0.99883336,0.0036182548,0.9896,0.040046453
0.6,0.99995,0.0007919914,0.9917,0.028855497,0.32438335,2.5896943,0.3357,2.512594,0.98611665,0.04058418,0.9805,0.07096605,0.99266666,0.021652488,0.9848,0.062326133,0.9910667,0.024521854,0.9836,0.059608914,0.99525,0.01369187,0.9864,0.055351928,0.99865,0.00464173,0.9891,0.03887684,0.9989333,0.0033840372,0.9891,0.039552484
0.65,0.99995,0.0008115109,0.9916,0.029107753,0.4429,1.9854032,0.4512,1.9296503,0.98791665,0.033753287,0.9821,0.0653448,0.99385,0.017594164,0.9851,0.05849825,0.9924667,0.020819329,0.9846,0.05590669,0.9959,0.011513193,0.9874,0.052214395,0.99878335,0.004174683,0.9893,0.038275976,0.99915,0.00304073,0.9893,0.0387235
0.7,0.99995,0.00083805935,0.9913,0.029498417,0.59008336,1.3191441,0.5955,1.2864406,0.99036664,0.025704335,0.9838,0.058926918,0.99543333,0.0130915,0.9863,0.053549387,0.99411666,0.01634825,0.9856,0.051484607,0.99686664,0.008927864,0.9881,0.048565444,0.9989667,0.00361469,0.9901,0.03754749,0.99941665,0.0026586694,0.9896,0.037920374
0.75,0.99995,0.000872582,0.991,0.030030975,0.73975,0.72905093,0.7474,0.7244165,0.9934833,0.017758323,0.9855,0.052297916,0.9968,0.008969007,0.987,0.04847294,0.9957833,0.011812997,0.9867,0.046907894,0.9976,0.0064568943,0.9886,0.044909537,0.99925,0.0030145112,0.9901,0.03671992,0.99951667,0.0022551268,0.9897,0.0370295
0.8,0.99993336,0.0009164072,0.9907,0.030709561,0.88518333,0.3126921,0.8838,0.33255544,0.99633336,0.011049368,0.9871,0.046084575,0.9979333,0.0057050115,0.988,0.04382885,0.9975333,0.00779157,0.9889,0.042639885,0.9986,0.004365542,0.99,0.041669864,0.99953336,0.0024478987,0.9902,0.035795525,0.9996333,0.0018910987,0.9898,0.036098603
0.85,0.99993336,0.0009713552,0.9907,0.03153855,0.96571666,0.100402586,0.9587,0.13284996,0.9981833,0.0062155435,0.9875,0.04093509,0.99913335,0.0034361633,0.9892,0.039837606,0.99865,0.004726603,0.9891,0.03910087,0.99935,0.0028168815,0.9897,0.038868126,0.99976665,0.0019593323,0.99,0.034998324,0.99978334,0.0015845612,0.9901,0.035256922
0.9,0.99993336,0.0010399133,0.9904,0.03252264,0.99198335,0.024585944,0.9818,0.060753223,0.99941665,0.0032778864,0.9889,0.037229188,0.9995833,0.0021009983,0.9894,0.037070636,0.9995667,0.0027291966,0.9893,0.03646426,0.9997333,0.0018519827,0.9896,0.036720295,0.99981666,0.0015907306,0.99,0.03454714,0.99986666,0.0013608563,0.9898,0.03478459
0.95,0.9999167,0.001125503,0.9899,0.033667736,0.99925,0.004553294,0.9885,0.039028272,0.99983335,0.001792281,0.9899,0.035163928,0.99988335,0.0014280546,0.9895,0.0354876,0.99985,0.0016537219,0.9896,0.035025608,0.99986666,0.0013568882,0.99,0.0354378,0.9999,0.0013459949,0.9897,0.03453433,0.9999,0.0012299669,0.9898,0.034693927
1.0,0.9999167,0.0012329003,0.9897,0.034982383,0.9999167,0.0012329003,0.9897,0.034982383,0.9999167,0.0012328951,0.9897,0.034982383,0.9999167,0.0012008257,0.9899,0.035092276,0.9999167,0.0012329712,0.9897,0.03498024,0.9999167,0.001198906,0.9899,0.035009623,0.9999167,0.0012328197,0.9897,0.034988083,0.9999167,0.0011967242,0.99,0.03501596
