alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses
0.0,1.0,2.3172814e-05,0.9928,0.030204613,1.0,2.3172812e-05,0.9928,0.030204615,1.0,2.3172812e-05,0.9928,0.03020461,1.0,2.3168872e-05,0.9927,0.030557107,1.0,2.3151402e-05,0.9928,0.030212305,1.0,2.2960325e-05,0.9927,0.03048669,1.0,2.3197666e-05,0.9928,0.03020352,1.0,2.2858007e-05,0.9929,0.030435639
0.05,1.0,2.168101e-05,0.993,0.02992687,1.0,0.0004211089,0.9904,0.031136082,1.0,6.123308e-05,0.9915,0.029096697,1.0,2.8436327e-05,0.9929,0.03055732,1.0,5.2896732e-05,0.9916,0.028912993,1.0,2.7640177e-05,0.993,0.030244257,1.0,3.332274e-05,0.9925,0.029292578,1.0,2.4845833e-05,0.9931,0.0303365
0.1,1.0,2.0479874e-05,0.9933,0.02970036,0.9958,0.013654216,0.9831,0.05538866,0.9999833,0.0003201134,0.9906,0.031553004,1.0,4.4521043e-05,0.9927,0.031174082,1.0,0.00020409458,0.9911,0.030521348,1.0,4.1826443e-05,0.9929,0.030783163,1.0,5.5772765e-05,0.9917,0.029237416,1.0,3.0585066e-05,0.993,0.030623773
0.15,1.0,1.9513378e-05,0.9934,0.029522557,0.93745,0.15381637,0.9307,0.1932077,0.99946666,0.0018341048,0.9882,0.037208103,1.0,8.954006e-05,0.9922,0.032715946,0.99975,0.0010053703,0.9894,0.034591705,1.0,7.8549325e-05,0.9923,0.03206553,1.0,0.00010546442,0.9914,0.029880865,1.0,4.0194285e-05,0.9931,0.031190626
0.2,1.0,1.8740711e-05,0.9932,0.029391045,0.76303333,0.6584972,0.7602,0.68264234,0.99795,0.006685674,0.9863,0.0460408,0.9999833,0.00022729569,0.9921,0.034900606,0.9988,0.0036141986,0.9876,0.040817745,0.9999667,0.00017696978,0.9922,0.033975974,0.9999833,0.00021542305,0.9912,0.03103129,1.0,5.578087e-05,0.9923,0.031786
0.25,1.0,1.8131159e-05,0.9933,0.02930363,0.547,1.4553342,0.5512,1.4578537,0.9939833,0.016702,0.984,0.05792378,0.99975,0.0006360279,0.9914,0.037724122,0.99688333,0.009168081,0.9856,0.04895016,0.99986666,0.00044454203,0.9921,0.03610547,0.9999167,0.00043486958,0.9908,0.03253496,1.0,8.044831e-05,0.9922,0.03270806
0.3,1.0,1.7662975e-05,0.9933,0.02925836,0.29323334,2.4001362,0.2987,2.383933,0.98875,0.03198535,0.9799,0.07271248,0.99951667,0.0015652537,0.9905,0.040933922,0.99376667,0.017928151,0.9836,0.058497652,0.9996333,0.0010107487,0.9914,0.038867418,0.99981666,0.0007907894,0.9902,0.034181163,1.0,0.00011566096,0.9919,0.033572137
0.35,1.0,1.7318698e-05,0.9932,0.029253608,0.1168,3.2078018,0.1192,3.1865873,0.98288333,0.05037025,0.9742,0.08913236,0.99881667,0.0030513664,0.9898,0.04424976,0.98983335,0.028727746,0.9808,0.068731554,0.99941665,0.0018792803,0.9911,0.041504644,0.9996833,0.0012495943,0.9897,0.035743438,0.9999833,0.00016326502,0.9922,0.03426246
0.4,1.0,1.7086397e-05,0.9929,0.029288027,0.09753333,3.7059956,0.0974,3.687311,0.97791666,0.067984834,0.9694,0.104603775,0.9981,0.004863329,0.9894,0.047181334,0.9863,0.039208222,0.9781,0.078144684,0.99901664,0.0029187538,0.9908,0.04371857,0.9996333,0.0017140137,0.9896,0.037064057,0.9999667,0.00021294995,0.9922,0.03496008
0.45000002,1.0,1.6957072e-05,0.993,0.029360536,0.09751666,3.9303548,0.0974,3.9156046,0.97426665,0.080594175,0.9671,0.1155934,0.9975833,0.0063298517,0.9892,0.049114246,0.9843,0.046804745,0.9754,0.0848214,0.9986167,0.0037988455,0.9906,0.045238376,0.99943334,0.00205199,0.9894,0.03795639,0.9999167,0.00025382728,0.9923,0.03544228
