alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.9998908,0.0011164453,0.96554244,0.17064069,0.9998908,0.0011164523,0.96554244,0.17064044,0.9998908,0.0011164523,0.96554244,0.17064044,0.99987715,0.0011042658,0.96535033,0.17082137,0.9998908,0.0011171047,0.96554244,0.17063005,0.9998908,0.0011050366,0.9653888,0.1707902,0.9998908,0.0011165179,0.96554244,0.17063904,0.99987715,0.0011031553,0.96542716,0.17082047,0.9998908,0.0011163865,0.96554244,0.1706415,0.99987715,0.0011047703,0.96542716,0.17076847,0.9998908,0.0011164638,0.96554244,0.17064035,0.99987715,0.0011050102,0.96542716,0.17078488
0.05,0.9998908,0.0010694867,0.9662723,0.16572809,0.9988124,0.0055543915,0.96439,0.15618566,0.9993311,0.0027604764,0.96569604,0.1616363,0.9998635,0.0012326825,0.96577287,0.16872549,0.99948126,0.002580854,0.9657345,0.16065024,0.9998635,0.0012666872,0.96569604,0.168621,0.9996314,0.0027309628,0.965043,0.15658113,0.99984986,0.0014937286,0.9659265,0.16405022,0.99974066,0.0030410965,0.9646205,0.15351823,0.9998635,0.0017720117,0.96554244,0.16028245,0.99976796,0.0033104229,0.9649662,0.15189612,0.9998908,0.002155109,0.9653888,0.15745467
0.1,0.9998908,0.0010294383,0.96677166,0.16118857,0.98978937,0.039363332,0.9558236,0.17000633,0.99732447,0.010851541,0.9633528,0.16078895,0.99976796,0.0015475225,0.966157,0.16737567,0.9978159,0.009343256,0.963468,0.15714274,0.99974066,0.0016374628,0.96588814,0.16731279,0.9980616,0.010063998,0.96262294,0.15352322,0.9998089,0.0021191826,0.9660802,0.15860316,0.99841654,0.011019857,0.9627766,0.14852881,0.9998635,0.0029799081,0.96565765,0.151629,0.998908,0.011429457,0.9633912,0.14461732,0.9998908,0.004594403,0.9654656,0.14671774
0.15,0.9998908,0.000995532,0.96734786,0.1570466,0.94831896,0.19128166,0.9243623,0.27298543,0.9907176,0.033878002,0.9573986,0.17203902,0.99942666,0.0024061974,0.9663491,0.16706057,0.9926014,0.02835135,0.9588199,0.16278845,0.9993584,0.002552746,0.9658497,0.166969,0.9908678,0.038045775,0.9557852,0.1696724,0.9996724,0.00318535,0.96600336,0.15467724,0.9919871,0.042315785,0.9559388,0.1688924,0.99979526,0.0050225654,0.965504,0.14509681,0.99628705,0.03699572,0.96004915,0.15879981,0.9998908,0.010040032,0.9653888,0.14045836
0.2,0.99990445,0.00096712785,0.9682314,0.15332916,0.8224743,0.6922914,0.8098878,0.75572914,0.97523785,0.085677356,0.94587433,0.2011607,0.9987578,0.0045177396,0.96611863,0.16784242,0.9805889,0.07080704,0.95106024,0.18372686,0.9987032,0.0046978057,0.96588814,0.16796932,0.96789384,0.124354474,0.9348878,0.23403619,0.9991264,0.0050693816,0.965965,0.15240383,0.9667882,0.1533576,0.9323909,0.26392418,0.9996724,0.00827389,0.9658113,0.14105871,0.9876189,0.11094627,0.95048404,0.2212108,0.9998908,0.020959368,0.9654656,0.1412929
0.25,0.9999181,0.000943662,0.9689997,0.15006413,0.55497766,1.6280394,0.5314613,1.6884946,0.9466945,0.18014564,0.9246696,0.2669267,0.99755657,0.009033696,0.9648125,0.16986184,0.95941687,0.1512879,0.9343116,0.2380529,0.9977067,0.00891652,0.9650046,0.1699879,0.910657,0.3449349,0.88057005,0.4382462,0.99833465,0.008459754,0.9659265,0.15157832,0.890263,0.48536363,0.8565612,0.59225464,0.9994403,0.013056567,0.9658113,0.13974382,0.96195585,0.30581224,0.9263983,0.40510538,0.9998908,0.035485987,0.96611863,0.14736837
0.3,0.9999181,0.0009246067,0.969307,0.14727841,0.3215529,2.1463327,0.3295175,2.1498513,0.90470535,0.3276743,0.88886756,0.39493304,0.99570006,0.017078688,0.9638138,0.17350647,0.9247853,0.28861663,0.90588504,0.3578041,0.99615055,0.015861051,0.963929,0.1728486,0.79155576,0.7960457,0.75845116,0.8927635,0.9970105,0.01414112,0.96511984,0.15216307,0.70083404,1.1903967,0.6597649,1.2969836,0.9988533,0.019647218,0.96554244,0.14086156,0.8955595,0.7380177,0.8627458,0.8335419,0.9998908,0.053570088,0.9667333,0.15849856
0.35,0.9999181,0.0009094674,0.9692686,0.1449957,0.21879138,2.2376983,0.21396743,2.2267876,0.85109955,0.5208451,0.83762294,0.5861004,0.99261504,0.02896033,0.96216196,0.17808415,0.8809943,0.48849565,0.8655885,0.5563635,0.9935842,0.026185594,0.9626998,0.17627297,0.5995741,1.3831136,0.55347264,1.4688687,0.9950585,0.022757664,0.9636601,0.1543309,0.38096017,1.9035952,0.344307,1.947366,0.99802065,0.028102292,0.9653888,0.14394252,0.7431781,1.3993602,0.71319914,1.478508,0.99990445,0.07412977,0.96777046,0.1733739
0.4,0.9999181,0.0008978108,0.9696143,0.14323503,0.14449131,2.250747,0.15938076,2.2399697,0.7948182,0.71744055,0.77954054,0.7923041,0.9892706,0.043445237,0.9607791,0.18279335,0.8294907,0.70888084,0.8135756,0.7849318,0.9902262,0.03864183,0.96116316,0.18018955,0.40297857,1.8113132,0.36378303,1.860218,0.99256045,0.03310912,0.9621235,0.1574127,0.20439002,2.1716876,0.20144437,2.1690233,0.99658734,0.037471175,0.96577287,0.14771836,0.48486835,1.9488297,0.44890904,1.9826673,0.9999181,0.09351716,0.968654,0.18861717
0.45000002,0.9999181,0.0008892966,0.9699985,0.14201014,0.14449131,2.2546625,0.15938076,2.244688,0.7548494,0.8589428,0.73578674,0.94303274,0.98603547,0.055656325,0.9599723,0.18647176,0.788812,0.8756856,0.7697833,0.9581562,0.98740053,0.049316835,0.9606638,0.18309166,0.29538473,2.000271,0.27404732,2.0231183,0.9904992,0.042092536,0.96127844,0.16034378,0.18922424,2.2214048,0.1958743,2.209288,0.9954271,0.045582674,0.96535033,0.15096664,0.25379145,2.1806967,0.23521051,2.182515,0.9999181,0.10749571,0.96969116,0.1999749
