alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses
0.0,0.9996833,0.0017711815,0.9874,0.051533036,0.9996833,0.0017711814,0.9874,0.05153303,0.9996833,0.0017711814,0.9874,0.051533032,0.9996667,0.0017578831,0.9874,0.051340073,0.9996833,0.0017711826,0.9874,0.051532783,0.9996667,0.0017541222,0.9874,0.051181808,0.9996833,0.0017711814,0.9874,0.05153303,0.9996833,0.0017513199,0.9875,0.051415034
0.05,0.9997333,0.0015927359,0.988,0.048922546,0.99813336,0.007716198,0.9849,0.04879145,0.9993,0.0032816152,0.9872,0.049574874,0.99948335,0.0022507096,0.9871,0.052468877,0.9994,0.0027353503,0.9873,0.04950617,0.99953336,0.0021630842,0.9875,0.05258065,0.9996167,0.0020542166,0.9874,0.048215594,0.9995667,0.0019066603,0.9876,0.049555477
0.1,0.99971664,0.0014535744,0.9882,0.046559673,0.98588336,0.053545058,0.9743,0.08873947,0.99658334,0.010818298,0.984,0.054810874,0.9987,0.004554952,0.9865,0.056726974,0.9979333,0.00712205,0.9859,0.05235916,0.99878335,0.0040364624,0.987,0.056175817,0.99918336,0.0029837133,0.9876,0.046498396,0.9993167,0.0025849151,0.9877,0.049060408
0.15,0.99975,0.0013446781,0.9887,0.044437442,0.9177333,0.24221757,0.9103,0.27076313,0.98901665,0.032132953,0.9792,0.07190477,0.9960167,0.011118211,0.9842,0.0648515,0.99383336,0.017732345,0.9837,0.060225748,0.9968,0.0091990605,0.986,0.062115446,0.9986,0.0048248973,0.9876,0.046353377,0.99871665,0.0040400396,0.9872,0.050318617
0.2,0.99975,0.0012593133,0.9891,0.042556085,0.80855,0.57828933,0.7955,0.6018288,0.97653335,0.073292606,0.9664,0.10890356,0.9917833,0.02485812,0.9804,0.07780157,0.9882333,0.036454093,0.98,0.07444722,0.9938667,0.018775288,0.9835,0.07066424,0.99765,0.0076547517,0.9865,0.047952466,0.9979,0.0063821734,0.9866,0.053019788
0.25,0.99976665,0.0011926085,0.9895,0.040922888,0.69778335,1.0114923,0.6869,1.0238581,0.9586167,0.13253337,0.9483,0.16495644,0.98625,0.04771978,0.9765,0.09703525,0.97968334,0.06401515,0.9718,0.09677865,0.98981667,0.03323913,0.9808,0.08238437,0.9960167,0.011424992,0.9849,0.05106668,0.9966,0.00967946,0.9855,0.05683236
0.3,0.99978334,0.001141134,0.9895,0.03955132,0.5413833,1.473406,0.538,1.4758668,0.9381667,0.1999579,0.9303,0.22720224,0.9799333,0.0781456,0.9716,0.12185224,0.9706,0.09747954,0.9618,0.12618525,0.9855667,0.05244093,0.9769,0.09863855,0.99448335,0.015715376,0.984,0.054695092,0.9953167,0.013666542,0.9843,0.06119953
0.35,0.99978334,0.001102543,0.9893,0.03845734,0.38743332,1.8476208,0.3935,1.8470451,0.9187667,0.26175538,0.9134,0.282155,0.9731333,0.11167693,0.9661,0.14983524,0.9613,0.1315347,0.9543,0.15672481,0.98053336,0.07428974,0.9741,0.117207035,0.9931333,0.019888472,0.9829,0.058426984,0.9939,0.017774118,0.9836,0.06538928
0.4,0.99978334,0.0010753017,0.9895,0.037653077,0.26733333,2.0952704,0.2691,2.0932548,0.90361667,0.30827653,0.9014,0.32125425,0.9673167,0.14172019,0.9625,0.17370296,0.95306665,0.16134724,0.9467,0.18270797,0.9767333,0.0952926,0.9719,0.13321477,0.99181664,0.023493774,0.9824,0.061792906,0.99285,0.021368716,0.9828,0.06878893
0.45000002,0.99978334,0.0010585062,0.9896,0.03714372,0.18188334,2.227851,0.1856,2.2245789,0.89676666,0.33409765,0.8957,0.339822,0.96351665,0.16237006,0.9605,0.18815903,0.94633335,0.18236148,0.9426,0.19943906,0.97393334,0.11102855,0.9704,0.14543279,0.9912,0.025915634,0.982,0.06427039,0.99195,0.023880355,0.9826,0.07135509
0.5,0.9998,0.0010517706,0.9901,0.036929023,0.1649,2.2822936,0.1686,2.2775574,0.8958,0.33728236,0.898,0.3378902,0.9622,0.16843863,0.96,0.18986642,0.9436,0.19152461,0.9399,0.20532258,0.97245,0.11865362,0.9677,0.15146,0.99095,0.02671007,0.9815,0.06551883,0.99163336,0.024656596,0.9825,0.0723076
0.55,0.9998,0.001055172,0.9897,0.03700433,0.17718333,2.2869523,0.1781,2.2799475,0.9027333,0.31793758,0.9027,0.3172434,0.9634,0.15942445,0.9614,0.18066823,0.94441664,0.18705937,0.9411,0.19976339,0.9723667,0.11788593,0.9679,0.15060242,0.99121666,0.025804041,0.9826,0.06531162,0.99203336,0.023683643,0.9829,0.07232145
0.6,0.9998,0.0010692382,0.9894,0.037362155,0.16445,2.2427692,0.1662,2.2319932,0.9143,0.27872345,0.9137,0.28066015,0.96786666,0.13709784,0.9645,0.1628074,0.94946665,0.16895577,0.9462,0.18292965,0.97473335,0.105693825,0.9696,0.14111525,0.99216664,0.023321273,0.9835,0.063785635,0.9928167,0.021043554,0.9831,0.06997708
0.65,0.9998,0.001094959,0.9892,0.03799607,0.19498333,2.133035,0.1988,2.119293,0.9303667,0.22459418,0.9281,0.23213561,0.9734333,0.10498749,0.9687,0.13848582,0.95773333,0.13969134,0.9538,0.15778075,0.9783667,0.08546013,0.9718,0.12587848,0.99343336,0.019672336,0.9832,0.061510283,0.99395,0.017421871,0.9843,0.066911615
